longitude,latitude
42.7993758,-73.9204047
42.796538,-73.9203416
42.7937,-73.9202785
42.7908617,-73.9202153
42.7880231,-73.9201521
42.7851843,-73.9200888
42.7823453,-73.9200255
42.7795061,-73.9199621
42.7766666,-73.9198987
42.7738268,-73.9198353
42.7709868,-73.9197718
42.7681466,-73.9197083
42.7653062,-73.9196447
42.7624654,-73.9195811
42.7596245,-73.9195174
42.7567833,-73.9194537
42.7539419,-73.91939
42.7511002,-73.9193262
42.7482583,-73.9192623
42.7454162,-73.9191985
42.7425738,-73.9191345
42.7397311,-73.9190706
42.7368883,-73.9190066
42.7340451,-73.9189425
42.7312018,-73.9188784
42.7283582,-73.9188143
42.7255144,-73.9187501
42.7226703,-73.9186859
42.719826,-73.9186216
42.7169814,-73.9185573
42.7141366,-73.9184929
42.7112915,-73.9184285
42.7084462,-73.9183641
42.7056007,-73.9182996
42.7027549,-73.9182351
42.6999089,-73.9181705
42.6970627,-73.9181059
42.6942162,-73.9180412
42.6913694,-73.9179765
42.6885224,-73.9179118
42.6856752,-73.917847
42.6828278,-73.9177822
42.67998,-73.9177173
42.6771321,-73.9176524
42.6742839,-73.9175874
42.6714355,-73.9175224
42.6685868,-73.9174573
42.6657379,-73.9173922
42.6628887,-73.9173271
42.6600393,-73.9172619
42.6571896,-73.9171967
42.6543398,-73.9171314
42.6514896,-73.9170661
42.6486392,-73.9170007
42.6457886,-73.9169353
42.6429378,-73.9168699
42.6400867,-73.9168044
42.6372353,-73.9167388
42.6343837,-73.9166733
42.6315319,-73.9166076
42.6286798,-73.916542
42.6258275,-73.9164763
42.6229749,-73.9164105
42.6201221,-73.9163447
42.6172691,-73.9162789
42.6144158,-73.916213
42.6115622,-73.916147
42.6087084,-73.9160811
42.6058544,-73.9160151
42.6030001,-73.915949
42.6001456,-73.9158829
42.5972909,-73.9158167
42.5944359,-73.9157505
42.5915806,-73.9156843
42.5887252,-73.915618
42.5858694,-73.9155517
42.5830134,-73.9154853
42.5801572,-73.9154189
42.5773008,-73.9153524
42.5744441,-73.9152859
42.5715871,-73.9152194
42.5687299,-73.9151528
42.5658725,-73.9150862
42.5630148,-73.9150195
42.5601569,-73.9149528
42.5572987,-73.914886
42.5544403,-73.9148192
42.5515816,-73.9147523
42.5487227,-73.9146854
42.5458636,-73.9146185
42.5430042,-73.9145515
42.5401445,-73.9144845
42.5372846,-73.9144174
42.5344245,-73.9143503
42.5315641,-73.9142831
42.5287035,-73.9142159
42.5258426,-73.9141486
42.5229815,-73.9140813
42.5201202,-73.914014
42.5172586,-73.9139466
42.5143967,-73.9138792
42.5115347,-73.9138117
42.5086723,-73.9137442
42.5058097,-73.9136766
42.5029469,-73.913609
42.5000838,-73.9135413
42.4972205,-73.9134736
42.494357,-73.9134059
42.4914932,-73.9133381
42.4886291,-73.9132703
42.4857648,-73.9132024
42.4829003,-73.9131345
42.4800355,-73.9130665
42.4771704,-73.9129985
42.4743052,-73.9129305
42.4714396,-73.9128624
42.4685739,-73.9127942
42.4657078,-73.912726
42.4628416,-73.9126578
42.4599751,-73.9125895
42.457137,-73.9125219
42.7996344,-73.9195063
42.7967967,-73.9194432
42.7939588,-73.9193801
42.7911207,-73.9193169
42.7882823,-73.9192537
42.7854437,-73.9191904
42.7826048,-73.9191271
42.7797657,-73.9190638
42.7769263,-73.9190004
42.7740868,-73.9189369
42.7712469,-73.9188734
42.7684069,-73.9188099
42.7655666,-73.9187463
42.762726,-73.9186827
42.7598852,-73.9186191
42.7570442,-73.9185554
42.7542029,-73.9184916
42.7513614,-73.9184278
42.7485197,-73.918364
42.7456777,-73.9183001
42.7428354,-73.9182362
42.739993,-73.9181723
42.7371502,-73.9181083
42.7343073,-73.9180442
42.7314641,-73.9179801
42.7286207,-73.917916
42.725777,-73.9178518
42.722933,-73.9177876
42.7200889,-73.9177233
42.7172445,-73.917659
42.7143998,-73.9175947
42.7115549,-73.9175303
42.7087098,-73.9174658
42.7058644,-73.9174013
42.7030188,-73.9173368
42.700173,-73.9172722
42.6973269,-73.9172076
42.6944805,-73.917143
42.6916339,-73.9170783
42.6887871,-73.9170135
42.68594,-73.9169487
42.6830927,-73.9168839
42.6802452,-73.916819
42.6773974,-73.9167541
42.6745494,-73.9166891
42.6717011,-73.9166241
42.6688526,-73.9165591
42.6660038,-73.916494
42.6631548,-73.9164289
42.6603055,-73.9163637
42.657456,-73.9162985
42.6546063,-73.9162332
42.6517563,-73.9161679
42.6489061,-73.9161025
42.6460557,-73.9160371
42.643205,-73.9159717
42.640354,-73.9159062
42.6375028,-73.9158407
42.6346514,-73.9157751
42.6317997,-73.9157095
42.6289478,-73.9156438
42.6260956,-73.9155781
42.6232432,-73.9155123
42.6203906,-73.9154465
42.6175377,-73.9153807
42.6146845,-73.9153148
42.6118312,-73.9152489
42.6089775,-73.9151829
42.6061237,-73.9151169
42.6032696,-73.9150508
42.6004152,-73.9149847
42.5975606,-73.9149186
42.5947058,-73.9148524
42.5918507,-73.9147862
42.5889953,-73.9147199
42.5861398,-73.9146536
42.583284,-73.9145872
42.5804279,-73.9145208
42.5775716,-73.9144543
42.574715,-73.9143878
42.5718583,-73.9143213
42.5690012,-73.9142547
42.5661439,-73.9141881
42.5632864,-73.9141214
42.5604286,-73.9140547
42.5575706,-73.9139879
42.5547124,-73.9139211
42.5518539,-73.9138542
42.5489951,-73.9137874
42.5461361,-73.9137204
42.5432769,-73.9136534
42.5404174,-73.9135864
42.5375577,-73.9135193
42.5346977,-73.9134522
42.5318375,-73.913385
42.528977,-73.9133178
42.5261163,-73.9132506
42.5232554,-73.9131833
42.5203942,-73.9131159
